Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
Powerphase rose;sneakers-and-converses;60,00;ADIDAS;ROSE, ROSE;44;NEUF, AVEC ÉTIQUETTE;2;0;NÎMES, FRANCE;09/07/2020 14:25;2020-07-09 16:47:46.789066;542381865;https://www.vinted.fr/hommes/sneakers-and-converses/542381865-powerphase-rose
Chaussures baskets Adidas Powerphase FU9544;exterieur-and-randonnee;49,00;ADIDAS;GRIS;43.5;NEUF, AVEC ÉTIQUETTE;28;0;FRANCE;07/07/2020 20:36;2020-07-09 16:47:56.141552;540903735;https://www.vinted.fr/hommes/exterieur-and-randonnee/540903735-chaussures-baskets-adidas-powerphase-fu9544
Adidas YEEZY Powerphase Calabasas;sneakers-and-converses;90,00;ADIDAS;GRIS;41;NEUF;12;0;BELGIQUE;07/07/2020 14:17;2020-07-09 16:48:03.919125;540471682;https://www.vinted.fr/hommes/sneakers-and-converses/540471682-adidas-yeezy-powerphase-calabasas
Adidas Yeezy Powerphase;sneakers-and-converses;80,00;ADIDAS;NOIR;42;NEUF, AVEC ÉTIQUETTE;48;1;BEAUVAIS, FRANCE;06/07/2020 22:14;2020-07-09 16:48:15.875190;540056353;https://www.vinted.fr/hommes/sneakers-and-converses/540056353-adidas-yeezy-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;50,00;ADIDAS;NOIR;40;TRÈS BON ÉTAT;17;0;POMMERÉVAL, FRANCE;05/07/2020 19:16;2020-07-09 16:48:31.936577;538750698;https://www.vinted.fr/hommes/sneakers-and-converses/538750698-yeezy-powerphase-calabasas
Basket;baskets-baskets;40,00;ADIDAS;LILA;40;NEUF;10;0;L'HAŸ-LES-ROSES, FRANCE;03/07/2020 21:49;2020-07-09 16:48:48.783968;536781115;https://www.vinted.fr/femmes/baskets-baskets/536781115-basket
Chaussures Adidas powerphase;sneakers-and-converses;50,00;ADIDAS;BEIGE , ROSE;45;NEUF, AVEC ÉTIQUETTE;87;2;FRANCE;02/07/2020 22:27;2020-07-09 16:48:58.891906;535950643;https://www.vinted.fr/hommes/sneakers-and-converses/535950643-chaussures-adidas-powerphase
yeezy powerphase calabasas;sneakers-and-converses;70,00;ADIDAS;NOIR;42.5;NEUF;34;1;WINGLES, FRANCE;02/07/2020 16:44;2020-07-09 16:49:05.623707;535569762;https://www.vinted.fr/hommes/sneakers-and-converses/535569762-yeezy-powerphase-calabasas
Adidas powerphase;sneakers-and-converses;60,00;ADIDAS;GRIS, BLANC;42.5;TRÈS BON ÉTAT;25;1;FRANCE;01/07/2020 23:28;2020-07-09 16:49:14.197443;535011815;https://www.vinted.fr/hommes/sneakers-and-converses/535011815-adidas-powerphase
Yeezy Powerphase Calabasas;sneakers-and-converses;105,00;ADIDAS;NOIR;44;NEUF, AVEC ÉTIQUETTE;58;2;FRANCE;01/07/2020 11:51;2020-07-09 16:49:20.002807;534173690;https://www.vinted.fr/hommes/sneakers-and-converses/534173690-yeezy-powerphase-calabasas
