Description;category;Prix;Marque;Couleurs;Taille;Etat;Vues;Interesses;Emplacement;Date;Current_date;No;url
Adidas Shoes;sneakers-and-chucks;85.00;ADIDAS;GREEN, WHITE;8.5;NEW WITH TAGS;56;0;UNITED STATES;12/30/2019 11:20 AM;2020-07-18 00:07:50.708102;26708404;https://www.vinted.com/men/sneakers-and-chucks/26708404-adidas-shoes
All Black Stan Smith;sneakers;45.00;ADIDAS;BLACK;8.5;VERY GOOD;88;0;LOS ANGELES, CA, UNITED STATES;10/07/2019 06:13 AM;2020-07-18 00:08:00.956166;26444689;https://www.vinted.com/women/sneakers/26444689-all-black-stan-smith
Adidas Stan Smith’s (Blue) - Women’s 6.5;sneakers;28.00;ADIDAS;BLUE, WHITE;6.5;VERY GOOD;119;3;LANCASTER, PA, UNITED STATES;10/03/2019 08:30 AM;2020-07-18 00:08:09.774794;26431311;https://www.vinted.com/women/sneakers/26431311-adidas-stan-smiths-blue-womens-65
Adidas Stan Smith’s (Green) - Women’s 6;sneakers;25.00;ADIDAS;GREEN, WHITE;6;GOOD;114;1;LANCASTER, PA, UNITED STATES;10/03/2019 08:27 AM;2020-07-18 00:08:19.261788;26431298;https://www.vinted.com/women/sneakers/26431298-adidas-stan-smiths-green-womens-6
Toddler Stan Smith;shoes-baby-shoes;15.00;ADIDAS;WHITE;9 CHILD;GOOD;38;0;REVERE, MA, UNITED STATES;09/17/2019 08:23 PM;2020-07-18 00:08:28.235303;26377525;https://www.vinted.com/kids/shoes-baby-shoes/26377525-toddler-stan-smith
Adidas Stan Smith;sneakers;40.00;ADIDAS;WHITE, GOLD;9;VERY GOOD;211;10;FOREST HEIGHTS, MD, UNITED STATES;08/28/2019 10:35 AM;2020-07-18 00:08:37.132407;26304088;https://www.vinted.com/women/sneakers/26304088-adidas-stan-smith
Stan Smith Sneakers;sneakers-and-chucks;34.00;ADIDAS;WHITE;7;VERY GOOD;76;1;NEW YORK, UNITED STATES;06/15/2019 10:28 AM;2020-07-18 00:08:47.062351;26009450;https://www.vinted.com/men/sneakers-and-chucks/26009450-stan-smith-sneakers
Adidas Stan Smith tangerine sneakers 6.5;sneakers;65.00;ADIDAS;WHITE, ORANGE;6.5;NEW WITHOUT TAGS;54;0;UNITED STATES;06/07/2019 05:45 PM;2020-07-18 00:08:58.798324;25979679;https://www.vinted.com/women/sneakers/25979679-adidas-stan-smith-tangerine-sneakers-65
Adidas Stan Smith White Sock Sneakers;sneakers-and-chucks;75.00;ADIDAS;GREEN, WHITE;7;VERY GOOD;66;0;NEWPORT NEWS, UNITED STATES;05/30/2019 03:43 AM;2020-07-18 00:09:08.807370;25946565;https://www.vinted.com/men/sneakers-and-chucks/25946565-adidas-stan-smith-white-sock-sneakers
Multi Stan Smiths;sneakers;75.00;ADIDAS;WHITE, VARIOUS;7;GOOD;72;1;NEWBURGH, NY, UNITED STATES;05/27/2019 10:19 AM;2020-07-18 00:09:18.645697;25935175;https://www.vinted.com/women/sneakers/25935175-multi-stan-smiths
Adidas Stan Smith All White Size 7;sneakers;22.00;ADIDAS;WHITE;7;VERY GOOD;71;1;SAN FRANCISCO, CA, UNITED STATES;05/24/2019 07:30 PM;2020-07-18 00:09:29.141271;25926518;https://www.vinted.com/women/sneakers/25926518-adidas-stan-smith-all-white-size-7
