Description;category;Price;Brand;Coluors;Size;Condition;Views;Interested;Location;Date;Current_date;No;url
Adidas stan smith;tenisky-a-platene-boty;500;ADIDAS;ZELENÁ, BÍLÁ;Na;VELMI DOBRÝ;13;0;OSTRAVA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:31:29.542611;37393141;https://www.vinted.cz/muzi/tenisky-a-platene-boty/37393141-adidas-stan-smith
Adidas tenisky Stan Smith;tenisky-tenisky;799;ADIDAS;BÍLÁ, STŘÍBRNÁ;Na;VELMI DOBRÝ;47;0;PILSEN, ČESKÁ REPUBLIKA;Na;2020-07-18 15:31:36.591582;37377635;https://www.vinted.cz/zeny/tenisky-tenisky/37377635-adidas-tenisky-stan-smith
Adidas x Raf Simons Stan Smith;tenisky-a-platene-boty;2 300;ADIDAS;ČERVENÁ, NÁMOŘNICKÁ;Na;VELMI DOBRÝ;15;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:31:45.217199;37345520;https://www.vinted.cz/muzi/tenisky-a-platene-boty/37345520-adidas-x-raf-simons-stan-smith
Adidas Stan Smith vel. 40 2/3 (UK 7) nové;tenisky-a-platene-boty;1 290;ADIDAS;ČERNÁ, BÍLÁ;Na;NOVÝ S VISAČKOU;53;0;OSTATNÍ, ČESKÁ REPUBLIKA;Na;2020-07-18 15:31:52.456548;37306210;https://www.vinted.cz/muzi/tenisky-a-platene-boty/37306210-adidas-stan-smith-vel-40-23-uk-7-nove
Stan smith sock primeknit;tenisky-tenisky;900;ADIDAS;ZELENÁ, BÍLÁ;Na;VELMI DOBRÝ;41;1;ČESKÁ REPUBLIKA;15.07.2020 08:39;2020-07-18 15:31:59.098303;37305644;https://www.vinted.cz/zeny/tenisky-tenisky/37305644-stan-smith-sock-primeknit
Kotníkové boty značky Adidas originals edice Stan Smith;tenisky-a-platene-boty;1 299;ADIDAS;BÍLÁ, NÁMOŘNICKÁ;Na;VELMI DOBRÝ;39;0;ČESKÁ REPUBLIKA;Na;2020-07-18 15:32:11.485565;37243453;https://www.vinted.cz/muzi/tenisky-a-platene-boty/37243453-kotnikove-boty-znacky-adidas-originals-edice-stan-smith
Bílozelené tenisky Adidas Superstar Stan Smith;tenisky-tenisky;650;ADIDAS;ZELENÁ, BÍLÁ;Na;VELMI DOBRÝ;84;1;OSTATNÍ, ČESKÁ REPUBLIKA;08.07.2020 19:11;2020-07-18 15:32:18.521513;37149721;https://www.vinted.cz/zeny/tenisky-tenisky/37149721-bilozelene-tenisky-adidas-superstar-stan-smith
Stan Smith tenisky;tenisky-tenisky;300;ADIDAS;TMAVĚ RŮŽOVÁ, BÍLÁ;Na;DOBRÝ;67;1;OSTATNÍ, ČESKÁ REPUBLIKA;08.07.2020 18:47;2020-07-18 15:32:25.152117;37148872;https://www.vinted.cz/zeny/tenisky-tenisky/37148872-stan-smith-tenisky
Adidas Stan Smith;tenisky;650;ADIDAS;ŠEDÁ, BÍLÁ;Na;NOVÝ BEZ VISAČKY;33;0;TÝN NAD VLTAVOU, ČESKÁ REPUBLIKA;Na;2020-07-18 15:32:38.261181;37037149;https://www.vinted.cz/deti/tenisky/37037149-adidas-stan-smith
Adidas Stan Smith;tenisky-tenisky;500;ADIDAS;ZELENÁ, BÍLÁ;Na;DOBRÝ;87;3;ČESKÁ REPUBLIKA;03.07.2020 13:37;2020-07-18 15:32:48.429674;37028024;https://www.vinted.cz/zeny/tenisky-tenisky/37028024-adidas-stan-smith
Tenisky Adidas Stan Smith 40 2/3;tenisky-tenisky;1 300;ADIDAS;SVĚTLE RŮŽOVÁ;Na;NOVÝ S VISAČKOU;50;0;ČESKÁ REPUBLIKA;Na;2020-07-18 15:32:54.118500;36997733;https://www.vinted.cz/zeny/tenisky-tenisky/36997733-tenisky-adidas-stan-smith-40-23
Klasické tenisky adidas Stan Smith;tenisky-tenisky;800;ADIDAS;BÍLÁ;Na;VELMI DOBRÝ;85;1;PRAHA 7, ČESKÁ REPUBLIKA;01.07.2020 17:01;2020-07-18 15:32:58.857964;36985840;https://www.vinted.cz/zeny/tenisky-tenisky/36985840-klasicke-tenisky-adidas-stan-smith
Tenisky Adidas Stan Smith;tenisky-a-platene-boty;350;ADIDAS;MODRÁ, BÍLÁ;Na;VELMI DOBRÝ;60;2;ČESKÁ REPUBLIKA;01.07.2020 16:19;2020-07-18 15:33:05.120810;36984835;https://www.vinted.cz/muzi/tenisky-a-platene-boty/36984835-tenisky-adidas-stan-smith
Tenisky Adidas Stan Smith;tenisky-tenisky;1 490;ADIDAS;BÍLÁ, SVĚTLE RŮŽOVÁ;Na;NOVÝ S VISAČKOU;37;0;OSTATNÍ, ČESKÁ REPUBLIKA;Na;2020-07-18 15:33:31.613703;36979624;https://www.vinted.cz/zeny/tenisky-tenisky/36979624-tenisky-adidas-stan-smith
Adidas Stan Smith;tenisky-a-platene-boty;1 249;ADIDAS;ČERNÁ, BÍLÁ;Na;NOVÝ S VISAČKOU;54;0;OSTATNÍ, ČESKÁ REPUBLIKA;Na;2020-07-18 15:33:41.824846;36966587;https://www.vinted.cz/muzi/tenisky-a-platene-boty/36966587-adidas-stan-smith
Adidas Stan Smith;tenisky-tenisky;1 300;ADIDAS;ČERVENÁ, BÍLÁ;Na;NOVÝ BEZ VISAČKY;47;0;OSTATNÍ, ČESKÁ REPUBLIKA;Na;2020-07-18 15:33:48.571350;36915819;https://www.vinted.cz/zeny/tenisky-tenisky/36915819-adidas-stan-smith
Adidas stan smith;tenisky-tenisky;690;ADIDAS;SVĚTLE RŮŽOVÁ;Na;VELMI DOBRÝ;86;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:33:53.500510;36893367;https://www.vinted.cz/zeny/tenisky-tenisky/36893367-adidas-stan-smith
Stylové Navy tenisky ADIDAS - 40.;tenisky-tenisky;925;ADIDAS;BÉŽOVÁ, NÁMOŘNICKÁ;Na;VELMI DOBRÝ;44;0;PRAHA 2, ČESKÁ REPUBLIKA;Na;2020-07-18 15:34:12.341934;36782439;https://www.vinted.cz/zeny/tenisky-tenisky/36782439-stylove-navy-tenisky-adidas-40
Adidas Stan Smith;tenisky-tenisky;1 000;ADIDAS;ŠEDÁ, BÍLÁ;Na;NOVÝ S VISAČKOU;24;0;OSTATNÍ, ČESKÁ REPUBLIKA;Na;2020-07-18 15:34:21.479405;36755609;https://www.vinted.cz/zeny/tenisky-tenisky/36755609-adidas-stan-smith
Bílé, kožené, puntíkaté tenisky Adidas Stan Smith;tenisky-tenisky;1 699;ADIDAS;BÍLÁ, MINT;Na;NOVÝ S VISAČKOU;174;1;ČESKÁ REPUBLIKA;21.06.2020 00:06;2020-07-18 15:34:31.005415;36724524;https://www.vinted.cz/zeny/tenisky-tenisky/36724524-bile-kozene-puntikate-tenisky-adidas-stan-smith
Adidas stan Smith;tenisky-tenisky;700;ADIDAS;ČERVENÁ;Na;VELMI DOBRÝ;39;2;PRAGUE, ČESKÁ REPUBLIKA;20.06.2020 18:16;2020-07-18 15:34:37.057641;36715909;https://www.vinted.cz/zeny/tenisky-tenisky/36715909-adidas-stan-smith
Tenisky Adidas Stan Smith 46 2/3;tenisky-a-platene-boty;1 000;ADIDAS;MODRÁ, BÍLÁ;Na;VELMI DOBRÝ;50;1;PRAGUE, ČESKÁ REPUBLIKA;20.06.2020 11:26;2020-07-18 15:34:42.760591;36702109;https://www.vinted.cz/muzi/tenisky-a-platene-boty/36702109-tenisky-adidas-stan-smith-46-23
Adidas Raf Simons Stan Smith limitky;tenisky-tenisky;1 999;ADIDAS;ČERNÁ, BÍLÁ;Na;NOVÝ S VISAČKOU;123;1;OSTATNÍ, ČESKÁ REPUBLIKA;18.06.2020 09:10;2020-07-18 15:34:53.687416;36644200;https://www.vinted.cz/zeny/tenisky-tenisky/36644200-adidas-raf-simons-stan-smith-limitky
Adidas kozene tenisky Stan Smith;tenisky-tenisky;1 550;ADIDAS;ŽLUTÁ, BÍLÁ;Na;NOVÝ S VISAČKOU;107;15;BRNO, ČESKÁ REPUBLIKA;16.06.2020 11:17;2020-07-18 15:35:02.499977;36592965;https://www.vinted.cz/zeny/tenisky-tenisky/36592965-adidas-kozene-tenisky-stan-smith
Adidas Stan Smith;tenisky-tenisky;400;ADIDAS;ZELENÁ, BÍLÁ;Na;DOBRÝ;45;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:35:10.667484;36564629;https://www.vinted.cz/zeny/tenisky-tenisky/36564629-adidas-stan-smith
Adidas Stan Smith;tenisky-tenisky;800;ADIDAS;BÉŽOVÁ, BÍLÁ;Na;DOBRÝ;41;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:35:24.030712;36543750;https://www.vinted.cz/zeny/tenisky-tenisky/36543750-adidas-stan-smith
Adidas Originals Stan Smith Nové tenisky vel. 39;tenisky-tenisky;1 000;ADIDAS;BÍLÁ, SVĚTLE RŮŽOVÁ;Na;NOVÝ S VISAČKOU;108;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:35:31.591726;36463371;https://www.vinted.cz/zeny/tenisky-tenisky/36463371-adidas-originals-stan-smith-nove-tenisky-vel-39
Adidas Originals Stan Smith Nové tenisky vel. 39;tenisky-tenisky;1 000;ADIDAS;BÍLÁ, SVĚTLE RŮŽOVÁ;Na;NOVÝ S VISAČKOU;108;0;PRAHA, ČESKÁ REPUBLIKA;Na;2020-07-18 15:35:39.103579;36463371;https://www.vinted.cz/zeny/tenisky-tenisky/36463371-adidas-originals-stan-smith-nove-tenisky-vel-39
